"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg04777769,-0.27,0.001,0.97,1.00,chr6,170544352,,,,
cg23690444,0.56,0.001,0.97,1.00,chr14,81902736,,,,
cg07712198,0.25,0.001,0.97,1.00,chr5,9015582,,,,
cg02895319,0.20,0.001,0.97,1.00,chr12,50222810,LOC100286844;NCKAP5L;LOC100286844;LOC100286844,Body;TSS1500;Body;Body,,
cg01025398,-0.47,0.001,0.97,1.00,chr3,71833878,PROK2;PROK2,Body;Body,,
cg21807034,0.18,0.001,0.97,1.00,chr18,61144150,SERPINB5;SERPINB5,1stExon;5'UTR,,
cg00320094,-0.30,0.001,0.97,1.00,chr1,68695183,GPR177;GPR177,Body;Body,,
cg01397050,-0.25,0.001,0.97,1.00,chr4,116894979,,,,
cg00930455,0.17,0.001,0.97,1.00,chr7,96654548,DLX5,TSS1500,,
cg22825230,0.19,0.001,0.97,1.00,chr20,57798303,ZNF831,Body,,
cg16190478,0.26,0.001,0.97,1.00,chr21,45789122,TRPM2,Body,,
cg13757081,-0.24,0.001,0.97,1.00,chr7,26480747,LOC441204,Body,,
cg20011402,0.48,0.001,0.97,1.00,chr10,17496239,ST8SIA6,1stExon,,
cg21959598,-0.21,0.001,0.97,1.00,chr7,55637719,VOPP1,Body,,
cg17745234,-0.21,0.001,0.97,1.00,chr22,37499649,TMPRSS6;TMPRSS6,1stExon;5'UTR,,
cg26246947,0.15,0.001,0.97,1.00,chr1,45191110,C1orf228,3'UTR,,
cg08696727,0.54,0.001,0.97,1.00,chr10,28034797,MKX,TSS200,,
cg11649846,-0.21,0.001,0.97,1.00,chr7,134917144,STRA8,Body,,
cg26459419,0.35,0.001,0.97,1.00,chr17,77774880,,,,
cg16778405,0.40,0.001,0.97,1.00,chr16,653443,RAB40C,Body,,
cg21525020,0.29,0.001,0.97,1.00,chr19,54024023,ZNF331,TSS200,,
cg26823584,0.30,0.001,0.97,1.00,chr6,28510647,,,,
cg14446951,-0.23,0.001,0.97,1.00,chr2,36605829,CRIM1,Body,,
cg26053697,0.57,0.001,0.97,1.00,chr13,111039873,COL4A2,Body,,
cg00851770,0.66,0.001,0.97,1.00,chr18,12254175,CIDEA;CIDEA,TSS1500;TSS200,,
cg11582189,-0.19,0.001,0.97,1.00,chr1,95313200,SLC44A3;SLC44A3,Body;Body,,
cg19639560,0.30,0.001,0.97,1.00,chr17,6946059,SLC16A11,Body,,
cg08097417,0.20,0.001,0.97,1.00,chr7,130419133,KLF14,TSS1500,,
cg05285902,0.39,0.001,0.97,1.00,chr7,21582834,DNAH11;DNAH11,1stExon;5'UTR,,
cg08521800,0.30,0.001,0.97,1.00,chr5,63462187,RNF180;RNF180,5'UTR;5'UTR,,
cg27631427,0.19,0.001,0.97,1.00,chr18,47088306,LIPG,TSS200,,
cg12390344,0.22,0.001,0.97,1.00,chr18,21270348,LAMA3;LAMA3,Body;Body,,
cg16100486,-0.34,0.001,0.97,1.00,chr6,167263401,RPS6KA2,Body,,
cg04993975,0.26,0.001,0.97,1.00,chr17,35294472,LHX1,TSS200,,
cg17523124,0.19,0.001,0.97,1.00,chr20,24451769,TMEM90B,5'UTR,,
cg26837773,-0.21,0.001,0.97,1.00,chr1,947091,,,,
cg25296710,0.17,0.001,0.97,1.00,chr15,49268336,,,,
cg23722428,0.30,0.001,0.97,1.00,chr10,35931117,FZD8,TSS1500,,
cg04522045,0.32,0.001,0.97,1.00,chr2,172958324,,,,
cg14141380,0.14,0.001,0.97,1.00,chr7,20826721,SP8;SP8,TSS1500;TSS1500,,
cg11193201,-0.25,0.001,0.97,1.00,chr1,161677452,FCRLA,Body,,
cg00231239,0.24,0.001,0.97,1.00,chr12,113534615,DTX1,Body,,
cg14026561,0.40,0.001,0.97,1.00,chr6,166401464,LOC441177;C6orf176;C6orf176,Body;Body;Body,,
cg03724059,0.18,0.001,0.97,1.00,chr6,30611046,C6orf134,Body,,
cg25022355,0.24,0.001,0.97,1.00,chr6,27280141,POM121L2,TSS200,,
cg19919989,-0.21,0.001,0.97,1.00,chr5,66492464,CD180,1stExon,,
cg09386265,-0.20,0.001,0.97,1.00,chr19,1313642,,,,
cg14488081,0.29,0.001,0.97,1.00,chr8,73921810,TERF1;TERF1,Body;Body,,
cg11746396,-0.26,0.001,0.97,1.00,chr1,65157749,CACHD1,3'UTR,,
cg05142211,0.40,0.001,0.97,1.00,chr3,181430485,SOX2OT;SOX2,Body;1stExon,,
cg26504421,-0.48,0.001,0.97,1.00,chr17,71339361,SDK2,Body,,
cg12799689,0.78,0.001,0.97,1.00,chr18,67067893,DOK6,TSS1500,,
cg09233730,0.15,0.001,0.97,1.00,chr1,1688446,NADK,Body,,
cg10236037,0.30,0.001,0.97,1.00,chr2,9347576,ASAP2;ASAP2,Body;Body,,
cg20576597,0.22,0.001,0.97,1.00,chr21,46131668,C21orf29,TSS200,,
cg27047577,0.15,0.001,0.97,1.00,chr1,1473193,C1orf70,Body,,
cg02071076,0.30,0.001,0.97,1.00,chr4,184827086,STOX2;STOX2,1stExon;5'UTR,,
cg26468007,0.39,0.001,0.97,1.00,chr7,4998714,MMD2;MMD2;MMD2;MMD2,1stExon;1stExon;5'UTR;5'UTR,,
cg05845531,-0.23,0.001,0.97,1.00,chr5,124606359,,,,
cg12021882,-0.23,0.001,0.97,1.00,chr12,132841141,GALNT9,Body,,
cg01924493,-0.28,0.001,0.97,1.00,chr12,124787465,FAM101A,5'UTR,,
cg06713675,-0.71,0.001,0.97,1.00,chr4,122721982,EXOSC9;EXOSC9,TSS1500;TSS1500,,
cg27618777,-0.29,0.001,0.97,1.00,chr6,32804628,TAP2;TAP2,Body;Body,,
cg06905511,-0.75,0.001,0.97,1.00,chr5,139062493,CXXC5,3'UTR,,
cg13059411,0.48,0.001,0.97,1.00,chr1,112533221,KCND3;KCND3,TSS1500;TSS1500,,
cg24450063,0.88,0.001,0.97,1.00,chr1,156163899,SLC25A44;SLC25A44,5'UTR;1stExon,,
cg16619425,0.41,0.001,0.97,1.00,chr20,59828528,CDH4,Body,,
cg15682266,-0.27,0.001,0.97,1.00,chr6,134155787,MGC34034;MGC34034,Body;Body,,
cg26074552,0.28,0.001,0.97,1.00,chr14,69322234,,,,
cg11834730,-0.23,0.001,0.97,1.00,chr12,124942248,NCOR2;NCOR2,Body;Body,,
cg02391713,0.43,0.001,0.97,1.00,chr6,105400985,,,,
cg13941153,0.18,0.001,0.97,1.00,chr4,113277987,ALPK1;ALPK1,5'UTR;5'UTR,,
cg21630725,-0.16,0.001,0.97,1.00,chr11,3637427,,,,
cg01572979,0.24,0.001,0.97,1.00,chr8,27455004,CLU;CLU;CLU,3'UTR;3'UTR;3'UTR,,
cg07798143,0.44,0.001,0.97,1.00,chr11,16629150,,,,
cg02746744,-0.26,0.001,0.97,1.00,chr19,14380262,,,,
cg16361266,0.27,0.001,0.97,1.00,chr1,1313144,,,,
cg05013696,-0.34,0.001,0.97,1.00,chr11,55110233,OR4A16,TSS1500,,
cg21321815,0.24,0.001,0.97,1.00,chr20,18038296,OVOL2;OVOL2,1stExon;5'UTR,,
cg21605369,-0.36,0.001,0.97,1.00,chr6,76092436,FILIP1,Body,,
cg05177776,-0.23,0.001,0.97,1.00,chr6,26086340,HFE;HFE;HFE;HFE;HFE;HFE;HFE;HFE;HFE,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,
cg21008208,0.20,0.001,0.97,1.00,chr7,151454717,PRKAG2;PRKAG2,Body;Body,,
cg19222574,-0.15,0.001,0.97,1.00,chr3,126706207,PLXNA1,TSS1500,,
cg24635109,-0.36,0.001,0.97,1.00,chr6,154640892,IPCEF1;IPCEF1;IPCEF1,5'UTR;5'UTR;5'UTR,,
cg23236370,-0.44,0.001,0.97,1.00,chr5,33892705,ADAMTS12,TSS1500,,
cg22693978,0.21,0.001,0.97,1.00,chr7,28448936,CREB5,5'UTR,,
cg06144469,0.25,0.001,0.97,1.00,chr17,72931903,OTOP3,1stExon,,
cg13593090,0.45,0.001,0.97,1.00,chr19,9546723,ZNF266;ZNF266,TSS1500;TSS1500,,
cg11124652,-0.21,0.001,0.97,1.00,chr2,62462782,,,,
cg14095795,-0.26,0.001,0.97,1.00,chr11,129122128,,,,
cg05207870,-0.22,0.001,0.97,1.00,chr20,62705429,RGS19;RGS19,Body;Body,,
cg25824330,-0.26,0.001,0.97,1.00,chr6,43655393,MRPS18A,Body,,
cg03877829,-0.27,0.001,0.97,1.00,chr5,111190203,C5orf13;C5orf13,Body;Body,,
cg09395195,-0.21,0.001,0.97,1.00,chr17,29645782,EVI2A;EVI2A;NF1;NF1,Body;Body;Body;Body,,
cg15427448,0.70,0.001,0.97,1.00,chr11,117186896,BACE1;BACE1;BACE1;BACE1;BACE1;BACE1;BACE1;BACE1,1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;1stExon,,
cg11321092,-0.27,0.001,0.97,1.00,chr5,144325284,,,,
cg21578219,0.63,0.001,0.97,1.00,chr1,18434542,IGSF21;IGSF21,5'UTR;1stExon,,
cg19849509,0.43,0.001,0.97,1.00,chr2,175204996,,,,
cg07486383,0.32,0.001,0.97,1.00,chr5,37838363,GDNF,5'UTR,,
cg17338501,0.37,0.001,0.97,1.00,chr3,153839954,SGEF,Body,,
cg09971674,-0.22,0.001,0.97,1.00,chr15,58853142,LIPC,Body,,
cg24587080,-0.26,0.001,0.97,1.00,chr6,160016373,,,,
cg15482931,-0.33,0.001,0.97,1.00,chr15,27019448,GABRB3;GABRB3,TSS1500;TSS1500,,
cg00624949,0.27,0.001,0.97,1.00,chr6,32134620,EGFL8,Body,,
cg17755352,0.16,0.001,0.97,1.00,chr9,127215714,GPR144,Body,,
cg15500259,-0.17,0.001,0.97,1.00,chr1,1002068,,,,
cg02039267,0.30,0.001,0.97,1.00,chr10,118894069,VAX1;VAX1,Body;Body,,
cg25821072,-0.30,0.001,0.97,1.00,chr12,129252706,,,,
cg18328965,0.38,0.001,0.97,1.00,chr10,102107584,SCD,Body,,
cg21422909,-0.26,0.001,0.97,1.00,chr1,27995811,IFI6;IFI6;IFI6,Body;Body;Body,,
cg12273319,0.57,0.001,0.97,1.00,chr19,50861262,,,,
cg23300486,0.26,0.001,0.97,1.00,chr14,103294375,TRAF3;TRAF3;TRAF3,5'UTR;5'UTR;5'UTR,,
cg11539055,0.20,0.001,0.97,1.00,chr4,80886264,ANTXR2,Body,,
cg09423126,-0.31,0.001,0.97,1.00,chr8,22735333,PEBP4,Body,,
cg03125341,-0.24,0.001,0.97,1.00,chr6,157882207,ZDHHC14;ZDHHC14,Body;Body,,
cg21578207,-0.26,0.001,0.97,1.00,chr1,44870088,RNF220,TSS1500,,
cg21721973,-0.25,0.001,0.97,1.00,chr17,8633408,CCDC42;CCDC42,3'UTR;3'UTR,,
cg01892516,0.67,0.001,0.97,1.00,chr14,38064532,FOXA1,TSS200,,
cg00222684,-0.20,0.001,0.97,1.00,chr3,36902435,TRANK1,Body,,
cg11594731,-0.74,0.001,0.97,1.00,chr3,46940212,PTH1R,Body,,
cg16553796,0.60,0.001,0.97,1.00,chr18,78005475,PARD6G,TSS200,,
cg13443605,0.59,0.001,0.97,1.00,chr17,14207036,HS3ST3B1;MGC12916,Body;TSS200,,
cg02283735,-0.33,0.001,0.97,1.00,chr1,44011587,PTPRF;PTPRF,Body;Body,,
cg06196755,0.36,0.001,0.97,1.00,chr19,31839734,TSHZ3,Body,,
cg14649566,0.20,0.001,0.97,1.00,chr1,244609066,ADSS,Body,,
cg09481056,0.18,0.001,0.97,1.00,chr16,2339260,ABCA3,Body,,
cg15441473,0.30,0.001,0.97,1.00,chr10,134838506,,,,
cg09250087,0.21,0.001,0.97,1.00,chr2,161127564,,,,
cg01743658,0.25,0.001,0.97,1.00,chr14,31859505,HEATR5A,TSS1500,,
cg15595627,-0.24,0.001,0.97,1.00,chr8,108401517,ANGPT1,Body,,
cg04930630,0.27,0.001,0.97,1.00,chr16,86542422,,,,
cg16919708,-0.46,0.001,0.97,1.00,chr11,133023150,OPCML,Body,,
cg17478979,0.21,0.001,0.97,1.00,chr6,149772150,ZC3H12D,Body,,
cg00863309,-0.31,0.001,0.97,1.00,chr1,212226308,DTL,Body,,
cg15505277,0.20,0.001,0.97,1.00,chr1,5894894,,,,
cg10176011,-0.22,0.001,0.97,1.00,chr8,1905280,ARHGEF10,Body,,
cg00152611,-0.22,0.001,0.97,1.00,chr4,123300380,ADAD1;ADAD1;ADAD1,5'UTR;TSS1500;TSS1500,,
cg19792268,0.19,0.001,0.97,1.00,chr12,29936125,TMTC1,5'UTR,,
cg09394600,0.15,0.001,0.97,1.00,chr17,5184508,RABEP1;RABEP1,TSS1500;TSS1500,,
cg23027574,0.84,0.001,0.97,1.00,chr6,30043194,RNF39;RNF39,1stExon;1stExon,,
cg25382214,-0.72,0.001,0.97,1.00,chr1,3105252,PRDM16;PRDM16,Body;Body,,
cg04822748,0.33,0.001,0.97,1.00,chr7,27225897,HOXA11AS;HOXA11,Body;TSS1500,,
cg23978322,-0.28,0.001,0.97,1.00,chr6,97010439,FHL5;FHL5;FHL5;FHL5,1stExon;5'UTR;5'UTR;1stExon,,
cg15345437,-0.19,0.001,0.97,1.00,chr11,62620843,SNORD22;SNORD31;SNHG1,TSS1500;Body;Body,,
cg13580265,-0.46,0.001,0.97,1.00,chr11,6291625,CCKBR,Body,,
cg26053795,0.42,0.001,0.97,1.00,chr14,103373907,,,,
cg17084007,-0.26,0.001,0.97,1.00,chr4,166248124,SC4MOL;SC4MOL,TSS1500;TSS1500,,
cg09677243,0.57,0.001,0.97,1.00,chr17,31619231,ACCN1;ACCN1;ACCN1,1stExon;5'UTR;Body,,
cg13310292,-0.23,0.001,0.97,1.00,chr8,24062331,,,,
cg06257708,0.48,0.001,0.97,1.00,chr17,72889793,FADS6,TSS200,,
cg27490993,0.36,0.001,0.97,1.00,chr6,28984269,,,,
cg14277925,0.38,0.001,0.97,1.00,chr11,859532,TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4,5'UTR;Body;Body;Body;Body;Body;Body,,
cg20321153,0.37,0.001,0.97,1.00,chr1,63795435,,,,
cg10488476,0.30,0.001,0.97,1.00,chr17,48133676,ITGA3;ITGA3;ITGA3;ITGA3,1stExon;5'UTR;1stExon;5'UTR,,
cg08640609,1.10,0.001,0.97,1.00,chr1,7764642,CAMTA1,Body,,
cg16265717,-0.37,0.001,0.97,1.00,chr1,65993149,LEPR;LEPR;LEPR,5'UTR;5'UTR;5'UTR,,
cg02022425,0.29,0.001,0.97,1.00,chr5,175200401,,,,
cg22472023,-0.27,0.001,0.97,1.00,chr19,48389615,SULT2A1;SULT2A1,1stExon;5'UTR,,
cg23240149,0.88,0.001,0.97,1.00,chr11,34075172,CAPRIN1;CAPRIN1,Body;Body,,
cg07430760,0.27,0.001,0.97,1.00,chr1,60392340,CYP2J2,1stExon,,
cg26260201,-0.23,0.001,0.97,1.00,chr19,1490631,REEP6;PCSK4,TSS1500;TSS1500,,
cg13186597,0.41,0.001,0.97,1.00,chr10,33624123,NRP1;NRP1;NRP1,TSS1500;TSS1500;TSS1500,,
cg08883853,-0.49,0.001,0.97,1.00,chr7,1026168,CYP2W1,Body,,
cg21816001,0.22,0.001,0.97,1.00,chr8,86019311,LRRCC1;LRRCC1,TSS200;TSS200,,
cg04293733,0.49,0.001,0.97,1.00,chr1,98511629,MIR137,Body,,
cg02153339,-0.26,0.001,0.97,1.00,chr12,121415499,HNF1A,TSS1500,,
cg13868001,-0.55,0.001,0.97,1.00,chr13,65297897,,,,
cg10934129,0.19,0.001,0.97,1.00,chr5,172655841,,,,
cg25998175,-0.30,0.001,0.97,1.00,chr11,15914332,,,,
cg24133591,0.51,0.001,0.97,1.00,chr5,1009091,NKD2,TSS200,,
cg10208284,0.24,0.001,0.97,1.00,chr13,113461982,ATP11A;ATP11A,Body;Body,,
cg15449870,-0.20,0.001,0.97,1.00,chr1,11795985,AGTRAP;AGTRAP;AGTRAP;AGTRAP;AGTRAP,TSS200;TSS200;TSS200;TSS200;TSS200,,
cg20712058,0.35,0.001,0.97,1.00,chr3,126243125,CHST13,TSS200,,
cg08847919,0.25,0.001,0.97,1.00,chr11,68854196,TPCN2,Body,,
cg07435215,-0.26,0.001,0.97,1.00,chr15,41575421,LOC729082,TSS1500,,
cg13900348,0.38,0.001,0.97,1.00,chr5,76114646,F2RL1,TSS200,,
cg22264409,-0.28,0.001,0.97,1.00,chr3,71828408,PROK2;PROK2,Body;Body,,
cg03479209,-0.33,0.001,0.97,1.00,chr3,58020999,FLNB;FLNB;FLNB;FLNB,Body;Body;Body;Body,,
cg13506038,-0.25,0.001,0.97,1.00,chr18,10032278,,,,
cg26831416,0.17,0.001,0.97,1.00,chr19,39142011,ACTN4,Body,,
cg12093976,-0.30,0.001,0.97,1.00,chr4,110833884,EGF,TSS200,,
cg06753827,0.22,0.001,0.97,1.00,chr6,170492847,,,,
cg13438095,-0.20,0.001,0.97,1.00,chr9,137623929,COL5A1,Body,,
cg21401879,0.53,0.001,0.97,1.00,chr2,45162036,,,,
cg20294181,-0.27,0.001,0.97,1.00,chr3,128369804,RPN1,TSS200,,
cg16874095,0.28,0.001,0.97,1.00,chr14,34529121,,,,
cg09294038,0.16,0.001,0.97,1.00,chr20,35371955,NDRG3;NDRG3,5'UTR;5'UTR,,
cg19180827,-0.25,0.001,0.97,1.00,chr2,47684718,MSH2,Body,,
cg26877357,-0.24,0.001,0.97,1.00,chr1,116197470,VANGL1,Body,,
cg02825765,0.16,0.001,0.97,1.00,chr1,225614261,LBR;LBR,5'UTR;5'UTR,,
cg06422189,-0.25,0.001,0.97,1.00,chr6,31322766,HLA-B,Body,,
cg00436603,-0.23,0.001,0.97,1.00,chr10,135340740,CYP2E1,TSS200,,
cg03199058,0.29,0.001,0.97,1.00,chr1,225117464,DNAH14;DNAH14;DNAH14;DNAH14;DNAH14;DNAH14,1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR,,
cg02444243,0.18,0.001,0.97,1.00,chr1,61516135,,,,
cg11792874,0.13,0.001,0.97,1.00,chr14,24014501,,,,
cg17809353,0.26,0.001,0.97,1.00,chr2,20386466,,,,
cg08552189,-0.28,0.001,0.97,1.00,chr16,77915951,VAT1L,Body,,
cg18406285,-0.28,0.001,0.97,1.00,chr2,11164228,,,,
cg03671075,-0.36,0.001,0.97,1.00,chr4,78573680,,,,
cg19431881,-0.85,0.001,0.97,1.00,chr17,32954486,TMEM132E,Body,,
cg16743310,0.56,0.001,0.97,1.00,chr20,39657439,TOP1,TSS200,,
cg21887940,0.36,0.001,0.97,1.00,chr19,44646068,ZNF234;ZNF234,5'UTR;5'UTR,,
cg25149218,-0.22,0.001,0.97,1.00,chr2,205411524,PARD3B;PARD3B;PARD3B,Body;Body;Body,,
cg16373202,0.63,0.001,0.97,1.00,chr16,68679417,CDH3,Body,,
cg10429922,0.54,0.001,0.97,1.00,chr15,33010143,GREM1,TSS200,,
cg11998932,-0.33,0.001,0.97,1.00,chr7,3901843,SDK1,Body,,
cg13472584,-0.26,0.001,0.97,1.00,chr1,14056972,PRDM2;PRDM2;PRDM2,Body;Body;Body,,
cg02598750,0.25,0.001,0.97,1.00,chr9,128169277,,,,
cg12846837,0.35,0.001,0.97,1.00,chr8,48172889,KIAA0146,TSS1500,,
cg14275738,0.27,0.001,0.97,1.00,chr17,71640340,SDK2,TSS200,,
cg26199857,-0.35,0.001,0.97,1.00,chr12,54764265,ZNF385A;ZNF385A;ZNF385A,Body;Body;Body,,
cg02700891,0.44,0.001,0.97,1.00,chr3,129693586,TRH;TRH,5'UTR;1stExon,,
cg18288303,-0.22,0.001,0.97,1.00,chr18,21900538,OSBPL1A;MIR320C2,Body;TSS1500,,
cg23114476,0.21,0.001,0.97,1.00,chr5,40495940,,,,
cg17263026,0.32,0.001,0.97,1.00,chr2,121453143,,,,
cg16191087,0.37,0.001,0.97,1.00,chr9,116225764,RGS3;RGS3,TSS1500;Body,,
cg01157126,0.55,0.002,0.97,1.00,chr2,219849189,FEV,Body,,
cg04035048,0.19,0.002,0.97,1.00,chr7,70231181,AUTS2;AUTS2,Body;Body,,
cg25970230,0.24,0.002,0.97,1.00,chr4,147558544,POU4F2,TSS1500,,
cg01382100,0.56,0.002,0.97,1.00,chr4,57397125,,,,
cg19697042,-0.19,0.002,0.97,1.00,chr15,92080308,,,,
cg18803147,-0.89,0.002,0.97,1.00,chr5,2743124,,,,
cg04838050,-0.25,0.002,0.97,1.00,chr12,53172395,KRT76,TSS1500,,
cg05527869,0.29,0.002,0.97,1.00,chr17,35294476,LHX1,TSS200,,
cg06856528,0.21,0.002,0.97,1.00,chr2,193059405,TMEFF2;TMEFF2,5'UTR;1stExon,,
cg18395327,0.66,0.002,0.97,1.00,chr2,220379109,ACCN4;ACCN4,1stExon;1stExon,,
cg16708623,-0.28,0.002,0.97,1.00,chr4,154125208,TRIM2;TRIM2,TSS1500;5'UTR,,
cg20926035,0.39,0.002,0.97,1.00,chr2,45236630,SIX2,TSS200,,
cg11950754,-0.15,0.002,0.97,1.00,chr1,53782077,LRP8;LRP8;LRP8;LRP8,Body;Body;Body;Body,,
cg22851561,-0.18,0.002,0.97,1.00,chr14,74214183,C14orf43;C14orf43,5'UTR;5'UTR,,
cg20346229,0.28,0.002,0.97,1.00,chr2,105689122,MRPS9,Body,,
cg11578064,0.20,0.002,0.97,1.00,chr12,112074044,,,,
cg06882058,0.19,0.002,0.97,1.00,chr1,243646787,SDCCAG8,Body,,
cg16750741,-0.57,0.002,0.97,1.00,chr13,111973105,C13orf16;C13orf16,1stExon;5'UTR,,
cg17729436,0.39,0.002,0.97,1.00,chr12,130939926,RIMBP2,Body,,
cg04355401,-0.25,0.002,0.97,1.00,chr20,37075704,SNORA39;SNHG11,TSS1500;Body,,
cg24874555,-0.46,0.002,0.97,1.00,chr19,12832212,TNPO2;TNPO2;TNPO2,5'UTR;5'UTR;5'UTR,,
cg25017250,-0.23,0.002,0.97,1.00,chr19,45445693,APOC4,Body,,
cg20399616,0.78,0.002,0.97,1.00,chr12,25055967,BCAT1,Body,,
cg23455785,0.27,0.002,0.97,1.00,chr1,200117203,NR5A2;NR5A2,Body;Body,,
cg25934863,0.54,0.002,0.97,1.00,chr15,101419506,ALDH1A3,TSS1500,,
cg13289869,0.22,0.002,0.97,1.00,chr2,63277195,OTX1,TSS1500,,
cg22136365,-0.23,0.002,0.97,1.00,chr16,71611043,TAT,TSS200,,
cg20543869,0.21,0.002,0.97,1.00,chr20,55107839,C20orf107,TSS1500,,
cg09222892,-0.57,0.002,0.97,1.00,chr1,25734099,RHCE;RHCE;RHCE;RHCE,Body;Body;Body;Body,,
cg21689102,0.33,0.002,0.97,1.00,chr21,38070983,SIM2;SIM2,TSS1500;TSS1500,,
cg09877173,-0.27,0.002,0.97,1.00,chr11,72380291,PDE2A;PDE2A,TSS200;Body,,
cg23926820,-0.33,0.002,0.97,1.00,chr12,81694451,PPFIA2,Body,,
cg22482381,-0.21,0.002,0.97,1.00,chr10,103578053,MGEA5;MGEA5;MGEA5;MGEA5,5'UTR;1stExon;1stExon;5'UTR,,
cg18226002,-0.22,0.002,0.97,1.00,chr6,169305767,,,,
cg12075928,-0.22,0.002,0.97,1.00,chr8,141801307,PTK2;PTK2,Body;Body,,
cg19022254,-0.35,0.002,0.97,1.00,chr6,29601705,GABBR1;GABBR1,TSS1500;TSS1500,,
cg25763542,-0.39,0.002,0.97,1.00,chr19,310512,MIER2,Body,,
cg23574427,-0.65,0.002,0.97,1.00,chr4,122746245,BBS7;CCNA2,3'UTR;TSS1500,,
cg16560774,1.07,0.002,0.97,1.00,chr17,79373381,BAHCC1,TSS200,,
cg09550041,-0.31,0.002,0.97,1.00,chr1,165513343,LOC400794;LRRC52,Body;TSS200,,
cg01796223,-0.34,0.002,0.97,1.00,chr7,129933014,CPA4;CPA4;CPA4;CPA4,1stExon;1stExon;5'UTR;5'UTR,,
cg20336388,-0.17,0.002,0.97,1.00,chr7,44152996,AEBP1,Body,,
cg17258265,0.32,0.002,0.97,1.00,chr17,80693663,FN3K,Body,,
cg26479630,0.22,0.002,0.97,1.00,chr5,180486787,BTNL9,Body,,
cg21519787,-0.39,0.002,0.97,1.00,chr19,49133421,SPHK2,3'UTR,,
cg02011723,-0.24,0.002,0.97,1.00,chr19,12831888,TNPO2;TNPO2;TNPO2,5'UTR;5'UTR;5'UTR,,
cg13683864,-0.32,0.002,0.97,1.00,chr3,40499215,RPL14;RPL14,Body;Body,,
cg11979875,-0.82,0.002,0.97,1.00,chr4,122721721,EXOSC9;EXOSC9,TSS1500;TSS1500,,
cg15679813,0.39,0.002,0.97,1.00,chr22,45405627,PHF21B;PHF21B,TSS200;5'UTR,,
cg11129439,-0.23,0.002,0.97,1.00,chr14,104029859,BAG5;BAG5;BAG5;C14orf153,TSS1500;TSS1500;TSS1500;Body,,
cg08657671,-0.32,0.002,0.97,1.00,chr5,175608441,,,,
cg07490485,0.17,0.002,0.97,1.00,chr14,50432614,,,,
cg01924868,-0.16,0.002,0.97,1.00,chr8,26305569,,,,
cg07421245,0.15,0.002,0.97,1.00,chr4,89209240,,,,
cg14837974,-0.25,0.002,0.97,1.00,chr14,21110908,OR6S1,TSS1500,,
cg22428102,0.32,0.002,0.97,1.00,chr4,184020710,WWC2;C4orf38,1stExon;TSS1500,,
cg13302823,0.19,0.002,0.97,1.00,chr8,145559792,SCRT1,1stExon,,
cg08852660,-0.26,0.002,0.97,1.00,chr7,155437816,RBM33,Body,,
cg08111446,0.61,0.002,0.97,1.00,chr20,61886079,NKAIN4;FLJ16779,TSS200;Body,,
cg03797957,-0.41,0.002,0.97,1.00,chr11,57424401,CLP1;CLP1,TSS1500;TSS1500,,
cg22462856,0.21,0.002,0.97,1.00,chr12,54577513,SMUG1,Body,,
cg22080435,0.21,0.002,0.97,1.00,chr13,21100193,CRYL1,TSS200,,
cg08247450,0.46,0.002,0.97,1.00,chr4,171011099,AADAT;AADAT;AADAT,5'UTR;1stExon;5'UTR,,
cg25923856,0.37,0.002,0.97,1.00,chr6,52536059,TMEM14A,5'UTR,,
cg19489320,0.17,0.002,0.97,1.00,chr7,27249832,,,,
cg26854588,-0.20,0.002,0.97,1.00,chr17,38440015,,,,
cg21755153,-0.17,0.002,0.97,1.00,chr8,145624994,CPSF1,Body,,
cg23267665,-0.30,0.002,0.97,1.00,chr1,14030141,PRDM2;PRDM2;PRDM2,TSS1500;5'UTR;TSS1500,,
cg07274314,-0.28,0.002,0.97,1.00,chr21,45143399,PDXK,Body,,
cg08934785,0.32,0.002,0.97,1.00,chr7,27196759,HOXA7,TSS1500,,
cg01676105,0.37,0.002,0.97,1.00,chr14,78447640,,,,
cg06275417,0.22,0.002,0.97,1.00,chr4,751048,PCGF3,Body,,
cg00812236,-0.33,0.002,0.97,1.00,chr16,2210434,TRAF7,5'UTR,,
cg25945303,-0.21,0.002,0.97,1.00,chr10,3827695,KLF6;KLF6;KLF6;KLF6,TSS1500;TSS1500;TSS1500;TSS1500,,
cg18886347,-0.21,0.002,0.97,1.00,chr11,57792403,OR9Q1,5'UTR,,
cg02657160,-0.32,0.002,0.97,1.00,chr3,98311063,CPOX,Body,,
cg18828365,-0.69,0.002,0.97,1.00,chr5,78281819,ARSB;ARSB;ARSB,TSS200;1stExon;5'UTR,,
cg18679544,0.44,0.002,0.97,1.00,chr10,72432482,ADAMTS14;ADAMTS14,TSS200;TSS200,,
